date,value
2008-04-04,1.7339
2008-04-11,1.8871
2008-04-18,1.9167
2008-04-25,1.7036
2008-05-02,1.3749
2008-05-09,1.2562
2008-05-16,1.0274
2008-05-23,0.9398
2008-05-30,0.9745
2008-06-06,1.3169
2008-06-13,1.2416
2008-06-20,1.281
2008-06-27,1.7443
2008-07-04,1.8402
2008-07-11,1.7937
2008-07-18,1.766
2008-07-25,1.2022
2008-08-01,1.6615
2008-08-08,1.5497
2008-08-15,1.5312
2008-08-22,1.7797
2008-08-29,1.5554
2008-09-05,1.8253
2008-09-12,1.9825
2008-09-19,4.137
2008-09-26,4.5839
2008-10-03,7.2644
2008-10-10,9.6461
2008-10-17,9.5943
2008-10-24,8.0898
2008-10-31,7.7737
2008-11-07,6.229
2008-11-14,6.0115
2008-11-21,7.7102
2008-11-28,6.873
2008-12-05,6.9582
2008-12-12,6.5678
2008-12-19,5.9752
2008-12-26,4.803
2009-01-02,4.9374
2009-01-09,3.7427
2009-01-16,3.8201
2009-01-23,4.3352
2009-01-30,4.052
2009-02-06,3.5917
2009-02-13,3.6004
2009-02-20,4.1812
2009-02-27,4.1755
2009-03-06,4.7884
2009-03-13,3.9506
2009-03-20,3.3467
2009-03-27,3.22
2009-04-03,3.0327
2009-04-10,2.8114
2009-04-17,2.5899
2009-04-24,2.843
2009-05-01,2.3383
2009-05-08,1.5787
2009-05-15,2.0465
2009-05-22,1.5818
2009-05-29,1.3732
2009-06-05,1.2158
2009-06-12,1.0162
2009-06-19,1.5922
2009-06-26,1.6503
2009-07-03,1.21
2009-07-10,1.4677
2009-07-17,1.0101
2009-07-24,0.7802
2009-07-31,0.5217
2009-08-07,0.1673
2009-08-14,0.7937
2009-08-21,0.9645
2009-08-28,0.5416
2009-09-04,0.7052
2009-09-11,0.3601
2009-09-18,0.0367
2009-09-25,0.1735
2009-10-02,0.4195
2009-10-09,0.2847
2009-10-16,0.1384
2009-10-23,0.1946
2009-10-30,0.4215
2009-11-06,0.3901
2009-11-13,0.0322
2009-11-20,0.1551
2009-11-27,0.1546
2009-12-04,0.0603
2009-12-11,-0.001
2009-12-18,-0.1508
2009-12-25,-0.2423
2010-01-01,-0.2188
2010-01-08,-0.4013
2010-01-15,-0.3621
2010-01-22,-0.087
2010-01-29,0.0487
2010-02-05,-0.0595
2010-02-12,0.1072
2010-02-19,-0.2204
2010-02-26,-0.2341
2010-03-05,-0.2745
2010-03-12,-0.5674
2010-03-19,-0.4389
2010-03-26,-0.4035
2010-04-02,-0.361
2010-04-09,-0.4755
2010-04-16,-0.4583
2010-04-23,-0.4254
2010-04-30,-0.1994
2010-05-07,0.4091
2010-05-14,0.3459
2010-05-21,0.9731
2010-05-28,1.018
2010-06-04,0.8135
2010-06-11,0.9655
2010-06-18,0.4985
2010-06-25,0.5801
2010-07-02,0.9344
2010-07-09,0.557
2010-07-16,0.3501
2010-07-23,0.4971
2010-07-30,0.1668
2010-08-06,0.1942
2010-08-13,0.4095
2010-08-20,0.4325
2010-08-27,0.4544
